date,ticker,open,high,low,close,volume
2020-01-02,VNINDEX,960.26,966.67,959.67,966.67,131523160
2020-01-03,VNINDEX,968.72,970.88,965.14,965.14,149202550
2020-01-06,VNINDEX,962.79,963.2,955.59,955.79,140978550
2020-01-07,VNINDEX,955.39,959.46,953.19,958.88,130272030
2020-01-08,VNINDEX,954.13,955.84,945.28,948.98,179374340
2020-01-09,VNINDEX,953.86,960.73,952.16,960.15,132773820
2020-01-10,VNINDEX,961.17,969.71,961.17,968.54,163058830
2020-01-13,VNINDEX,966.89,968.63,964.79,965.84,117952020
2020-01-14,VNINDEX,966.26,968.85,965.76,967.0,127784380
2020-01-15,VNINDEX,967.69,967.69,964.84,967.56,112470420
