window_start_date,window_end_date,forecast_date,target_date,observations,quantile_return,historical_var,target_return
2020-01-03,2020-12-30,2020-12-30,2020-12-31,250,-0.037727837845406474,0.037727837845406474,0.0146338918849512
2020-01-06,2020-12-31,2020-12-31,2021-01-04,250,-0.037727837845406474,0.037727837845406474,0.0178747748595694
2020-01-07,2021-01-04,2021-01-04,2021-01-05,250,-0.037727837845406474,0.037727837845406474,0.0179051953982352
2020-01-08,2021-01-05,2021-01-05,2021-01-06,250,-0.037727837845406474,0.037727837845406474,0.0002951274443642
2020-01-09,2021-01-06,2021-01-06,2021-01-07,250,-0.037727837845406474,0.037727837845406474,-0.0008945534329241
2022-10-11,2023-10-10,2023-10-10,2023-10-11,250,-0.03068006055000112,0.03068006055000112,0.0079812858459831
2022-10-12,2023-10-11,2023-10-11,2023-10-12,250,-0.03023716869623027,0.03023716869623027,-0.0132393225130859
2022-10-13,2023-10-12,2023-10-12,2023-10-13,250,-0.03023716869623027,0.03023716869623027,0.0059532703145134
2022-10-14,2023-10-13,2023-10-13,2023-10-16,250,-0.03023716869623027,0.03023716869623027,-0.0134033317533804
2022-10-17,2023-10-16,2023-10-16,2023-10-17,250,-0.03023716869623027,0.03023716869623027,-0.0310406581756293
2025-07-21,2026-07-21,2026-07-21,2026-07-22,250,-0.02463494265531399,0.02463494265531399,-0.0259120771359495
2025-07-22,2026-07-22,2026-07-22,2026-07-23,250,-0.0250739158395247,0.0250739158395247,0.0063457111128656
2025-07-23,2026-07-23,2026-07-23,2026-07-24,250,-0.0250739158395247,0.0250739158395247,-0.0255614491124538
2025-07-24,2026-07-24,2026-07-24,2026-07-27,250,-0.025347091506758873,0.025347091506758873,-0.0339697166270536
2025-07-25,2026-07-27,2026-07-27,2026-07-28,250,-0.025663435045117138,0.025663435045117138,0.0249347908797688
