date,ticker,open,high,low,close,volume
2020-01-02,FPT,20.79,21.04,20.68,20.9,896720
2020-01-02,HPG,7.23,7.38,7.18,7.38,4232230
2020-01-02,MWG,35.42,36.35,35.33,36.35,716290
2020-01-02,VNINDEX,960.26,966.67,959.67,966.67,131523160
2020-01-03,FPT,21.0,21.08,20.47,20.54,2047880
2020-01-03,HPG,7.44,7.49,7.4,7.43,7832210
2020-01-03,MWG,36.35,36.57,35.79,35.82,791020
2020-01-03,VNINDEX,968.72,970.88,965.14,965.14,149202550
2020-01-06,FPT,20.36,20.54,20.26,20.33,1091660
2020-01-06,HPG,7.38,7.46,7.34,7.38,5371060
2020-01-06,MWG,35.67,35.85,35.42,35.64,389250
2020-01-06,VNINDEX,962.79,963.2,955.59,955.79,140978550
2020-01-07,FPT,20.43,20.72,20.33,20.72,837240
2020-01-07,HPG,7.41,7.44,7.26,7.29,4871220
2020-01-07,MWG,35.64,35.92,35.2,35.92,648230
2020-01-07,VNINDEX,955.39,959.46,953.19,958.88,130272030
2020-01-08,FPT,20.5,20.58,20.26,20.26,1814290
2020-01-08,HPG,7.23,7.27,7.12,7.21,6421130
2020-01-08,MWG,35.42,35.73,35.05,35.05,742390
2020-01-08,VNINDEX,954.13,955.84,945.28,948.98,179374340
2020-01-09,FPT,20.43,20.58,20.36,20.54,967050
2020-01-09,HPG,7.26,7.43,7.26,7.38,4613440
2020-01-09,MWG,35.39,35.73,35.23,35.58,318070
2020-01-09,VNINDEX,953.86,960.73,952.16,960.15,132773820
2020-01-10,FPT,20.5,20.61,20.36,20.5,1018650
2020-01-10,HPG,7.41,7.55,7.4,7.44,10006180
2020-01-10,MWG,35.61,35.92,35.51,35.76,412180
2020-01-10,VNINDEX,961.17,969.71,961.17,968.54,163058830
2020-01-13,FPT,20.47,20.54,20.33,20.36,786760
2020-01-13,HPG,7.44,7.5,7.41,7.46,4456520
2020-01-13,MWG,35.58,35.82,35.45,35.58,288240
2020-01-13,VNINDEX,966.89,968.63,964.79,965.84,117952020
2020-01-14,FPT,20.36,20.47,20.33,20.33,721680
2020-01-14,HPG,7.46,7.7,7.44,7.69,9565300
2020-01-14,MWG,35.67,35.67,35.36,35.39,320810
2020-01-14,VNINDEX,966.26,968.85,965.76,967.0,127784380
2020-01-15,FPT,20.33,20.36,20.26,20.33,940870
2020-01-15,HPG,7.7,7.8,7.66,7.73,5881520
2020-01-15,MWG,35.39,35.48,35.33,35.42,293160
2020-01-15,VNINDEX,967.69,967.69,964.84,967.56,112470420
2020-01-16,FPT,20.33,20.76,20.33,20.68,1942970
2020-01-16,HPG,7.69,7.8,7.67,7.78,6855030
2020-01-16,MWG,35.42,36.04,35.39,35.85,521080
2020-01-16,VNINDEX,967.2,974.7,967.17,974.31,146756870
2020-01-17,FPT,20.68,20.72,20.33,20.54,1388810
2020-01-17,HPG,7.78,7.89,7.66,7.69,6329150
2020-01-17,MWG,35.85,36.1,35.85,36.07,435030
2020-01-17,VNINDEX,976.28,980.02,973.79,978.96,117216890
2020-01-20,FPT,20.5,20.68,20.4,20.47,1227100
2020-01-20,HPG,7.69,7.84,7.6,7.84,5711790
2020-01-20,MWG,35.89,36.85,35.89,36.85,1463940
2020-01-20,VNINDEX,978.23,979.85,975.93,978.63,102398830
2020-01-21,FPT,20.61,20.68,19.79,19.79,4351820
2020-01-21,HPG,7.92,8.0,7.86,7.95,5911660
2020-01-21,MWG,36.85,37.44,36.79,37.28,692200
2020-01-21,VNINDEX,978.82,986.37,978.82,986.37,128887950
2020-01-22,FPT,19.61,20.15,19.51,20.15,3165650
2020-01-22,HPG,7.95,8.12,7.95,8.09,8919900
2020-01-22,MWG,37.16,37.32,36.82,37.04,460240
2020-01-22,VNINDEX,986.52,991.46,983.92,991.46,128966880
2020-01-30,FPT,19.72,19.9,19.22,19.51,2638460
2020-01-30,HPG,7.86,7.96,7.67,7.78,13028790
2020-01-30,MWG,36.04,36.38,35.11,35.42,1315710
2020-01-30,VNINDEX,975.15,977.72,954.0,959.58,181385230
2020-01-31,FPT,19.26,19.58,18.54,18.54,4118150
2020-01-31,HPG,7.69,7.78,7.41,7.41,10994970
2020-01-31,MWG,35.11,35.61,34.33,34.43,1434750
2020-01-31,VNINDEX,955.56,960.96,936.62,936.62,210630210
2020-02-03,FPT,17.69,18.72,17.47,18.36,3602970
2020-02-03,HPG,7.16,7.63,6.98,7.55,12079180
2020-02-03,MWG,33.62,34.15,32.31,33.8,1949930
2020-02-03,VNINDEX,916.6,930.37,891.85,928.14,246408370
2020-02-04,FPT,18.69,18.69,18.19,18.47,1651440
2020-02-04,HPG,7.58,7.63,7.41,7.56,8086090
2020-02-04,MWG,33.87,34.33,33.06,33.52,905300
2020-02-04,VNINDEX,929.42,934.91,919.33,929.09,178000400
2020-02-05,FPT,18.65,18.83,18.54,18.54,1648620
2020-02-05,HPG,7.64,7.69,7.44,7.52,6938550
2020-02-05,MWG,33.56,34.08,33.56,33.56,805800
2020-02-05,VNINDEX,934.75,936.33,921.89,925.91,163682070
2020-02-06,FPT,18.72,19.11,18.47,19.11,1708550
2020-02-06,HPG,7.49,7.75,7.47,7.75,9214150
2020-02-06,MWG,33.56,34.27,33.56,34.02,785620
2020-02-06,VNINDEX,926.66,938.54,925.21,938.54,206129040
2020-02-07,FPT,18.9,19.08,18.83,19.01,1218660
2020-02-07,HPG,7.75,7.78,7.44,7.49,8120240
2020-02-07,MWG,33.96,33.96,33.49,33.77,628350
2020-02-07,VNINDEX,938.61,943.48,935.94,940.75,165020480
2020-02-10,FPT,18.69,18.9,18.58,18.76,738090
2020-02-10,HPG,7.38,7.58,7.36,7.49,4794830
2020-02-10,MWG,33.09,33.4,32.87,32.87,702790
2020-02-10,VNINDEX,934.38,935.87,926.61,930.73,129573270
2020-02-11,FPT,18.86,19.15,18.79,19.11,1085380
2020-02-11,HPG,7.52,7.56,7.21,7.26,12551620
2020-02-11,MWG,32.94,33.18,32.94,33.09,396130
2020-02-11,VNINDEX,931.55,936.04,931.55,934.67,159265510
2020-02-12,FPT,19.19,19.51,19.15,19.29,1104870
2020-02-12,HPG,7.23,7.43,7.21,7.32,9581940
2020-02-12,MWG,33.15,33.99,33.15,33.87,569230
2020-02-12,VNINDEX,940.72,943.11,937.34,937.68,187439280
2020-02-13,FPT,19.29,19.43,19.15,19.36,1030570
2020-02-13,HPG,7.3,7.35,7.26,7.29,5263180
2020-02-13,MWG,33.52,33.87,33.52,33.56,412040
2020-02-13,VNINDEX,937.19,939.1,934.47,938.24,153479610
2020-02-14,FPT,19.29,19.43,19.26,19.43,884240
2020-02-14,HPG,7.26,7.3,7.18,7.29,5052290
2020-02-14,MWG,33.24,33.46,32.9,33.28,415290
2020-02-14,VNINDEX,939.28,940.65,936.47,937.45,172195600
2020-02-17,FPT,19.47,19.47,19.26,19.33,726390
2020-02-17,HPG,7.29,7.34,7.26,7.3,2716840
2020-02-17,MWG,33.31,33.4,33.0,33.4,384490
2020-02-17,VNINDEX,938.52,938.52,931.66,934.77,149349950
2020-02-18,FPT,19.4,19.97,19.36,19.97,1760940
2020-02-18,HPG,7.34,7.34,7.16,7.16,7456030
2020-02-18,MWG,33.4,33.9,33.24,33.84,568750
2020-02-18,VNINDEX,934.47,934.98,926.01,927.93,164327840
2020-02-19,FPT,19.93,20.04,19.79,19.86,681250
2020-02-19,HPG,7.16,7.21,7.1,7.15,5481650
2020-02-19,MWG,33.99,34.33,33.84,34.33,672440
2020-02-19,VNINDEX,926.41,931.66,925.86,928.76,161801070
2020-02-20,FPT,20.01,20.11,19.79,19.9,780810
2020-02-20,HPG,7.21,7.3,7.15,7.3,5225250
2020-02-20,MWG,34.49,34.61,34.24,34.36,451760
2020-02-20,VNINDEX,933.69,938.13,930.41,938.13,183636850
2020-02-21,FPT,19.93,19.93,19.51,19.51,1458040
2020-02-21,HPG,7.3,7.32,7.23,7.24,4513960
2020-02-21,MWG,34.36,34.8,34.12,34.36,901890
2020-02-21,VNINDEX,937.13,940.53,932.32,933.09,179503790
2020-02-24,FPT,18.94,19.22,18.72,18.72,2261990
2020-02-24,HPG,7.0,7.12,6.98,6.98,12938030
2020-02-24,MWG,33.56,33.84,32.84,33.0,1556120
2020-02-24,VNINDEX,917.49,917.49,903.34,903.34,255965410
2020-02-25,FPT,18.58,19.26,18.54,19.26,1407720
2020-02-25,HPG,6.95,7.1,6.95,7.1,5303830
2020-02-25,MWG,32.69,33.24,32.69,33.24,692650
2020-02-25,VNINDEX,893.95,909.67,893.95,909.67,186008510
2020-02-26,FPT,19.04,19.68,18.9,19.61,3221270
2020-02-26,HPG,7.0,7.07,6.98,7.0,4502880
2020-02-26,MWG,32.94,33.52,32.78,33.0,1083030
2020-02-26,VNINDEX,901.51,903.27,894.25,895.97,131173700
2020-02-27,FPT,19.61,20.15,19.47,19.97,2927040
2020-02-27,HPG,6.98,7.09,6.98,7.06,3318240
2020-02-27,MWG,33.0,33.68,33.0,33.68,2144240
2020-02-27,VNINDEX,892.15,899.34,889.14,898.44,135468580
2020-02-28,FPT,19.61,19.86,19.47,19.65,2132200
2020-02-28,HPG,6.94,7.01,6.84,6.87,6583970
2020-02-28,MWG,32.94,33.31,32.47,33.09,1295250
2020-02-28,VNINDEX,885.47,887.07,872.46,882.19,184315860
2020-03-02,FPT,19.65,20.04,19.54,19.86,1787060
2020-03-02,HPG,6.83,6.92,6.83,6.86,3957540
2020-03-02,MWG,33.09,33.31,32.9,33.09,474160
2020-03-02,VNINDEX,878.43,886.45,877.31,884.43,173927240
2020-03-03,FPT,20.04,20.33,19.86,19.93,1193800
2020-03-03,HPG,7.01,7.01,6.86,6.86,4411940
2020-03-03,MWG,33.49,33.49,33.03,33.06,679500
2020-03-03,VNINDEX,895.39,896.39,890.06,890.61,176373200
2020-03-04,FPT,19.79,19.79,19.58,19.79,1660790
2020-03-04,HPG,6.89,6.95,6.87,6.87,2946050
2020-03-04,MWG,32.9,32.94,32.5,32.94,680740
2020-03-04,VNINDEX,887.85,889.85,882.83,889.37,195439390
2020-03-05,FPT,19.79,19.93,19.47,19.47,1296450
2020-03-05,HPG,6.95,6.97,6.87,6.87,2594810
2020-03-05,MWG,32.94,33.12,32.47,32.78,673150
2020-03-05,VNINDEX,892.71,898.43,891.2,893.31,209158850
2020-03-06,FPT,19.33,19.36,19.08,19.26,1305030
2020-03-06,HPG,6.87,6.9,6.84,6.89,3035470
2020-03-06,MWG,32.44,32.56,31.5,32.03,827890
2020-03-06,VNINDEX,888.96,891.44,882.71,891.44,175600680
2020-03-09,FPT,18.26,18.54,17.94,17.94,4735140
2020-03-09,HPG,6.41,6.63,6.41,6.41,16567350
2020-03-09,MWG,29.8,30.6,29.8,29.8,1051190
2020-03-09,VNINDEX,875.8,875.8,834.67,835.49,273180820
2020-03-10,FPT,18.19,18.54,17.94,18.44,2030340
2020-03-10,HPG,6.3,6.69,6.3,6.66,8137980
2020-03-10,MWG,28.24,29.52,28.03,29.18,1429660
2020-03-10,VNINDEX,813.83,843.28,806.63,837.5,242825240
2020-03-11,FPT,18.54,18.72,17.65,18.12,2753310
2020-03-11,HPG,6.67,6.7,6.2,6.32,8527920
2020-03-11,MWG,29.21,29.36,27.16,27.16,1584730
2020-03-11,VNINDEX,843.52,844.94,794.54,811.35,278303370
2020-03-12,FPT,17.33,17.58,16.87,17.15,3981670
2020-03-12,HPG,6.01,6.09,5.89,5.92,13041040
