fact_id,topic,fact,expected,actual,tolerance,status,source
01,scope,portfolio,true,true,1e-12,PASS,docs/day25-final-quantitative-story-a.md
02,scope,horizon,1,1,1e-12,PASS,configs/model_freeze.yaml
03,scope,confidence/alpha,0.95|0.05,0.95|0.05,1e-12,PASS,configs/model_freeze.yaml
04,evaluation,dates,2024-12-18|2026-07-28,2024-12-18|2026-07-28,1e-12,PASS,results/final_predictions.csv
05,evaluation,targets/method,398|398|398,398|398|398,1e-12,PASS,results/final_predictions.csv
06,evaluation,predictions,1194,1194,1e-12,PASS,results/final_predictions.csv
07,config,historical_simulation,historical_w250,historical_w250,1e-12,PASS,configs/model_freeze.yaml
08,config,ewma,ewma_d094,ewma_d094,1e-12,PASS,configs/model_freeze.yaml
09,config,gradient_boosting,gb_G04,gb_G04,1e-12,PASS,configs/model_freeze.yaml
10,metrics,historical_simulation,27|0.0678391959798995,27|0.0678391959798995,1e-12,PASS,results/final_metric_comparison.csv
11,metrics,ewma,22|0.05527638190954774,22|0.0552763819095477,1e-12,PASS,results/final_metric_comparison.csv
12,metrics,gradient_boosting,24|0.06030150753768844,24|0.0603015075376884,1e-12,PASS,results/final_metric_comparison.csv
13,pinball,historical_simulation,0.0018964642326659775,0.0018964642326659,1e-12,PASS,results/final_metric_comparison.csv
14,pinball,ewma,0.0019683212526850112,0.001968321252685,1e-12,PASS,results/final_metric_comparison.csv
15,pinball,gradient_boosting,0.001758130950957487,0.0017581309509574,1e-12,PASS,results/final_metric_comparison.csv
16,leaders,criterion leaders,ewma|gradient_boosting|historical_simulation,ewma|gradient_boosting|historical_simulation,1e-12,PASS,results/final_metric_comparison.csv
17,pairwise,gb_vs_historical,151|247|-0.0001383332817084946,151|247|-0.0001383332817084,1e-12,PASS,results/final_pairwise_summary.csv
18,pairwise,gb_vs_ewma,231|167|-0.00021019030172751563,231|167|-0.0002101903017275,1e-12,PASS,results/final_pairwise_summary.csv
19,pairwise,ewma_vs_historical,131|267|7.185702001901683e-05,131|267|7.185702001901683e-05,1e-12,PASS,results/final_pairwise_summary.csv
20,boundary,release guardrails,true,true,1e-12,PASS,docs/day24-final-evidence-a.md
