check_id,category,check,expected,actual,tolerance,status,source
R01,frozen_inputs,canonical_artifact_declarations,7/7,7/7,1e-12,PASS,configs/model_freeze.yaml;canonical frozen artifacts
R02,evaluation_contract,prediction_schema,forecast_date|target_date|method|actual_return|quantile_return|var|violation|runtime_seconds|config_id,forecast_date|target_date|method|actual_return|quantile_return|var|violation|runtime_seconds|config_id,1e-12,PASS,results/final_predictions.csv
R03,evaluation_contract,prediction_row_count,1194,1194,1e-12,PASS,results/final_predictions.csv
R04,evaluation_contract,method_panel,historical_simulation=398|ewma=398|gradient_boosting=398,historical_simulation=398|ewma=398|gradient_boosting=398,1e-12,PASS,results/final_predictions.csv
R05,evaluation_contract,evaluation_target_range,count=398|start=2024-12-18|end=2026-07-28,count=398|start=2024-12-18|end=2026-07-28,1e-12,PASS,results/final_predictions.csv
R06,evaluation_contract,unique_method_target_keys,true,true,1e-12,PASS,results/final_predictions.csv
R07,evaluation_contract,common_panel_and_actual_return,true,true,1e-12,PASS,results/final_predictions.csv
R08,risk_semantics,strict_violation_identity,true,true,1e-12,PASS,results/final_predictions.csv
R09,risk_semantics,var_identity_and_nonnegative,true,true,1e-12,PASS,results/final_predictions.csv
R10,freeze_contract,model_freeze_policy,new_algorithms_allowed=false|new_features_allowed=false|parameter_retuning_allowed=false|evaluation_period_change_allowed=false|canonical_prediction_rewrite_allowed=false,new_algorithms_allowed=false|new_features_allowed=false|parameter_retuning_allowed=false|evaluation_period_change_allowed=false|canonical_prediction_rewrite_allowed=false,1e-12,PASS,configs/model_freeze.yaml
R11,frozen_configuration,historical_configuration,freeze=historical_w250|prediction=historical_w250|window=250|mode=rolling,freeze=historical_w250|prediction=historical_w250|window=250|mode=rolling,1e-12,PASS,configs/model_freeze.yaml;results/final_predictions.csv
R12,frozen_configuration,ewma_configuration_and_validation_boundary,freeze=ewma_d094|prediction=ewma_d094|decay=0.94|mode=expanding|alt_decay=0.9|alt_adopted=false,freeze=ewma_d094|prediction=ewma_d094|decay=0.94|mode=expanding|alt_decay=0.9|alt_adopted=false,1e-12,PASS,configs/model_freeze.yaml;results/final_predictions.csv
R13,frozen_configuration,gradient_boosting_configuration,freeze=gb_G04|prediction=gb_G04|n_estimators=100|learning_rate=0.03|max_depth=2|min_samples_leaf=5|subsample=1.0|random_state=42,freeze=gb_G04|prediction=gb_G04|n_estimators=100|learning_rate=0.03|max_depth=2|min_samples_leaf=5|subsample=1.0|random_state=42,1e-12,PASS,configs/model_freeze.yaml;results/final_predictions.csv
R14,frozen_configuration,gradient_boosting_feature_contract,"return_lag_1,return_lag_2,return_lag_5,rolling_vol_5,rolling_vol_20,rolling_vol_60,drawdown|market_features=false","return_lag_1,return_lag_2,return_lag_5,rolling_vol_5,rolling_vol_20,rolling_vol_60,drawdown|market_features=false",1e-12,PASS,configs/model_freeze.yaml
R15,recomputed_quantitative_evidence,violation_counts,historical_simulation=27|ewma=22|gradient_boosting=24,historical_simulation=27|ewma=22|gradient_boosting=24,1e-12,PASS,results/final_predictions.csv;results/final_metric_comparison.csv
R16,recomputed_quantitative_evidence,violation_rates,historical_simulation=0.0678391959798995|ewma=0.055276381909547742|gradient_boosting=0.06030150753768844,historical_simulation=0.0678391959798995|ewma=0.055276381909547742|gradient_boosting=0.06030150753768844,1e-12,PASS,results/final_predictions.csv;results/final_metric_comparison.csv
R17,recomputed_quantitative_evidence,mean_pinball_losses,historical_simulation=0.001896464232665977|ewma=0.0019683212526850112|gradient_boosting=0.0017581309509574869,historical_simulation=0.0018964642326659775|ewma=0.0019683212526850121|gradient_boosting=0.0017581309509574873,1e-12,PASS,results/final_predictions.csv;results/final_metric_comparison.csv
R18,recomputed_quantitative_evidence,average_var,historical_simulation=0.021330189279201533|ewma=0.025084042489536062|gradient_boosting=0.023349057036283743,historical_simulation=0.021330189279201581|ewma=0.02508404248953611|gradient_boosting=0.023349057036283791,1e-12,PASS,results/final_predictions.csv;results/final_metric_comparison.csv
R19,recomputed_quantitative_evidence,minimum_var,historical_simulation=0.017088385227830499|ewma=0.014005656462523899|gradient_boosting=0.0137424730703311,historical_simulation=0.017088385227830519|ewma=0.014005656462523988|gradient_boosting=0.01374247307033119,1e-12,PASS,results/final_predictions.csv;results/final_metric_comparison.csv
R20,recomputed_quantitative_evidence,maximum_var,historical_simulation=0.027020197746921399|ewma=0.056446630577662901|gradient_boosting=0.048139015621043897,historical_simulation=0.027020197746921468|ewma=0.056446630577662971|gradient_boosting=0.048139015621043925,1e-12,PASS,results/final_predictions.csv;results/final_metric_comparison.csv
R21,recomputed_quantitative_evidence,criterion_specific_leaders,calibration=ewma|pinball=gradient_boosting|average_var=historical_simulation,calibration=ewma|pinball=gradient_boosting|average_var=historical_simulation,1e-12,PASS,results/final_predictions.csv;results/final_metric_comparison.csv
R22,recomputed_pairwise_evidence,gb_vs_historical,left=151|right=247|ties=0|mean_delta=-0.00013833328170849459,left=151|right=247|ties=0|mean_delta=-0.00013833328170849009,1e-12,PASS,results/final_predictions.csv;results/final_pairwise_summary.csv
R23,recomputed_pairwise_evidence,gb_vs_ewma,left=231|right=167|ties=0|mean_delta=-0.00021019030172751563,left=231|right=167|ties=0|mean_delta=-0.00021019030172752479,1e-12,PASS,results/final_predictions.csv;results/final_pairwise_summary.csv
R24,recomputed_pairwise_evidence,ewma_vs_historical,left=131|right=267|ties=0|mean_delta=7.1857020019016826e-05,left=131|right=267|ties=0|mean_delta=7.1857020019034729e-05,1e-12,PASS,results/final_predictions.csv;results/final_pairwise_summary.csv
R25,prior_evidence_gates,day24_evidence_validation,26/26 PASS,26/26 PASS,1e-12,PASS,results/final_evidence_validation_a.csv
R26,prior_evidence_gates,day25_claim_traceability,24/24 PASS,24/24 PASS,1e-12,PASS,results/final_claim_traceability_a.csv
R27,prior_evidence_gates,day26_release_evidence,acceptance=30/30 PASS|quantitative_summary_rows=3,acceptance=30/30 PASS|quantitative_summary_rows=3,1e-12,PASS,results/final_acceptance_matrix_a.csv;results/final_quantitative_summary_a.csv
R28,release_boundary,interpretation_and_provenance_boundary,interpretation=true|provenance=true|non_pristine=true,interpretation=true|provenance=true|non_pristine=true,1e-12,PASS,results/final_acceptance_matrix_a.csv;configs/model_freeze.yaml
